Date,Open,High,Low,Close,Adj Close,Volume
2022-01-02,35236.968750,35385.125000,34628.027344,35014.582031,35014.582031,20671834823
2022-01-03,35013.343750,35182.785156,34011.476563,34458.078125,34458.078125,24529292899
2022-01-04,34458.621094,35015.472656,33836.234375,33923.312500,33923.312500,31408198892
2022-01-05,33924.628906,34685.585938,31572.978516,32143.250000,32143.250000,27187072110
2022-01-06,32140.673828,32303.835938,31560.642578,31892.861328,31892.861328,22321602914
2022-01-07,31887.425781,31887.425781,30278.390625,30568.537109,30568.537109,61932077610
2022-01-08,30571.160156,31076.955078,29931.378906,30712.675781,30712.675781,20654480328
2022-01-09,30713.253906,31415.642578,30421.414063,30836.376953,30836.376953,15667300713
2022-01-10,30835.369141,31066.964844,29381.332031,30796.759766,30796.759766,23641235646
2022-01-11,30795.466797,31556.312500,30499.792969,31347.347656,31347.347656,19311699056
2022-01-12,31351.986328,32191.720703,31182.677734,32065.044922,32065.044922,24441387767
2022-01-13,32063.322266,32219.195313,30961.849609,31058.371094,31058.371094,34777043378
2022-01-14,31063.695313,31693.105469,30587.695313,31512.517578,31512.517578,17238712805
2022-01-15,31514.126953,31973.011719,31201.091797,31572.824219,31572.824219,13433772873
2022-01-16,31568.906250,31762.513672,31217.171875,31532.328125,31532.328125,13093111007
2022-01-17,31535.429688,31592.503906,30537.253906,30958.203125,30958.203125,15893554588
2022-01-18,30957.853516,31281.289063,30462.892578,31158.208984,31158.208984,16483060104
2022-01-19,31157.039063,31135.152344,30335.812500,30672.857422,30672.857422,16967181063
2022-01-20,30672.634766,31788.839844,29913.357422,29918.943359,29918.943359,14990231827
2022-01-21,29933.054688,30218.578125,26401.689453,26892.886719,26892.886719,31727967970
2022-01-22,26903.414063,27063.648438,25337.861328,25840.205078,25840.205078,29295475251
2022-01-23,25852.826172,26881.408203,25662.087891,26762.341797,26762.341797,19194137326
2022-01-24,26761.550781,27617.324219,24572.564453,27174.640625,27174.640625,31031522124
2022-01-25,27174.994141,27720.064453,26548.765625,27353.757813,27353.757813,19562436647
2022-01-26,27351.177734,28745.671875,27022.445313,27364.396484,27364.396484,23259954972
2022-01-27,27356.791016,27748.941406,26628.753906,27741.406250,27741.406250,18705369739
2022-01-28,27734.093750,28332.468750,27072.437500,28186.734375,28186.734375,16589945182
2022-01-29,28184.035156,28777.507813,27904.855469,28450.699219,28450.699219,12826688632
2022-01-30,28460.949219,28545.273438,27940.998047,28290.929688,28290.929688,10925785791
2022-01-31,28292.927734,28731.765625,27387.009766,28622.980469,28622.980469,15422077825
2022-02-01,28621.966797,28962.173828,28232.125000,28646.427734,28646.427734,15001134546
2022-02-02,28646.753906,28717.695313,27137.359375,27243.882813,27243.882813,14122316638
2022-02-03,27237.853516,27323.566406,26843.509766,27323.566406,27323.566406,13672251852
2022-02-04,27319.642578,30691.816406,27269.900391,30655.535156,30655.535156,21725976570
2022-02-05,30655.982422,30911.328125,30313.691406,30611.427734,30611.427734,14517007219
2022-02-06,30611.396484,31404.001953,30466.458984,31340.074219,31340.074219,11927976836
2022-02-07,31335.896484,32805.828125,30853.681641,32385.169922,32385.169922,21157968108
2022-02-08,32395.783203,33506.320313,31597.619141,32566.605469,32566.605469,24417988307
2022-02-09,32550.556641,33048.746094,31882.152344,32764.552734,32764.552734,17177757633
2022-02-10,32771.207031,33494.753906,32068.859375,32153.230469,32153.230469,23722438923
2022-02-11,32157.671875,32278.111328,31034.330078,31250.537109,31250.537109,19863165673
2022-02-12,31253.751953,31686.285156,30859.031250,31147.988281,31147.988281,13384247486
2022-02-13,31142.160156,31478.740234,30931.562500,31098.597656,31098.597656,10864212047
2022-02-14,31069.033203,31648.343750,30749.695313,31470.839844,31470.839844,15391294262
2022-02-15,31470.503906,32987.230469,31393.437500,32920.750000,32920.750000,16780944962
2022-02-16,32923.019531,32923.019531,32007.939453,32369.292969,32369.292969,14573332010
